site,site_lat,site_lon,id,lat,lon,scientific_name,growth_form,genus,species,family
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06511,44.06604672528413,-71.28797969343357,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06597,44.06681480103184,-71.28964377855313,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06509,44.06607224372202,-71.28806844353419,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06594,44.067317839273,-71.28977554796202,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06589,44.06791747518342,-71.28909242842126,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06583,44.067565750482615,-71.2872706851827,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06077,44.0660726637879,-71.28804338353368,Fagus grandifolia Ehrh.,Deciduous broadleaf,Fagus,grandifolia,Fagaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06585,44.06795696755306,-71.2877205203103,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06548,44.06718253926948,-71.28977674786772,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06074,44.06600657694185,-71.28896565274466,Fagus grandifolia Ehrh.,Deciduous broadleaf,Fagus,grandifolia,Fagaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06089,44.067903735175285,-71.28839858717159,Fagus grandifolia Ehrh.,Deciduous broadleaf,Fagus,grandifolia,Fagaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06792,44.06636859915872,-71.28974476366982,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06556,44.066343200365566,-71.28965520612886,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06578,44.06605827455221,-71.2872905434646,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06505,44.066012035626024,-71.28846879292347,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06593,44.06758242140311,-71.28962350357439,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06587,44.067781285219496,-71.28869565866832,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06568,44.067901728451474,-71.28943282177462,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06092,44.06787049411103,-71.28919165399827,Fagus grandifolia Ehrh.,Deciduous broadleaf,Fagus,grandifolia,Fagaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06072,44.06606633015268,-71.28926110080045,Fagus grandifolia Ehrh.,Deciduous broadleaf,Fagus,grandifolia,Fagaceae
