site,sitename,date
ST,Seattle,2004-06-14
DV,Denver,2004-04-18
AT,Austin,2004-04-10
ST,Seattle,2004-04-30
AT,Austin,2004-03-10
AT,Austin,2004-06-28
AT,Austin,2004-06-24
AT,Austin,2004-04-15
DV,Denver,2004-03-15
AT,Austin,2004-03-23
ST,Seattle,2004-03-09
AT,Austin,2004-01-02
DV,Denver,2004-03-23
AT,Austin,2004-02-13
DV,Denver,2004-04-19
DV,Denver,2004-06-29
AT,Austin,2004-05-20
AT,Austin,2004-02-23
ST,Seattle,2004-05-21
AT,Austin,2004-12-22
AT,Austin,2004-12-15
AT,Austin,2004-09-23
AT,Austin,2004-11-13
DV,Denver,2004-11-14
DV,Denver,2004-11-18
AT,Austin,2004-10-23
ST,Seattle,2004-09-01
ST,Seattle,2004-08-30
AT,Austin,2004-11-25
AT,Austin,2004-10-09
DV,Denver,2004-11-11
AT,Austin,2004-12-06
AT,Austin,2004-11-21
TP,Tampa,2004-07-28
TP,Tampa,2004-07-13
DV,Denver,2004-10-23
AT,Austin,2004-12-29
ST,Seattle,2004-07-21
AT,Austin,2004-11-15
TP,Tampa,2004-08-02
AT,Austin,2004-09-15
AT,Austin,2004-07-23
AT,Austin,2004-08-12
DV,Denver,2004-07-20
TP,Tampa,2004-09-13
DV,Denver,2004-07-13
AT,Austin,2004-09-17
AT,Austin,2004-09-06
DV,Denver,2004-12-26
DV,Denver,2004-10-26
TP,Tampa,2004-10-04
DV,Denver,2004-08-21
TP,Tampa,2004-10-13
TP,Tampa,2004-11-08
TP,Tampa,2004-12-09
AT,Austin,2004-12-14
AT,Austin,2004-07-27
DV,Denver,2004-09-25
DV,Denver,2004-12-21
DV,Denver,2004-10-25
AT,Austin,2004-08-24
AT,Austin,2004-07-07
ST,Seattle,2004-07-23
TP,Tampa,2004-12-13
AT,Austin,2004-07-02
DV,Denver,2004-11-20
AT,Austin,2004-08-23
DV,Denver,2004-10-03
AT,Austin,2004-09-21
AT,Austin,2004-11-17
TP,Tampa,2004-11-30
ST,Seattle,2004-08-12
DV,Denver,2004-11-28
DV,Denver,2004-10-15
DV,Denver,2004-11-10
DV,Denver,2004-09-02
AT,Austin,2004-11-11
DV,Denver,2004-07-23
AT,Austin,2004-11-10
AT,Austin,2004-09-22
DV,Denver,2004-07-10
ST,Seattle,2004-08-05
DV,Denver,2004-07-25
DV,Denver,2004-07-30
DV,Denver,2004-11-08
AT,Austin,2004-07-21
AT,Austin,2004-07-01
AT,Austin,2004-12-03
DV,Denver,2004-11-07
TP,Tampa,2004-12-21
AT,Austin,2004-12-11
ST,Seattle,2004-07-02
AT,Austin,2004-11-23
AT,Austin,2004-12-08
ST,Seattle,2004-07-29
TP,Tampa,2004-07-06
AT,Austin,2004-08-20
DV,Denver,2004-12-27
DV,Denver,2004-09-16
ST,Seattle,2004-08-09
AT,Austin,2004-11-14
DV,Denver,2004-07-22
TP,Tampa,2004-10-25
ST,Seattle,2004-07-19
TP,Tampa,2004-09-07
DV,Denver,2004-07-27
DV,Denver,2004-08-29
AT,Austin,2004-10-06
DV,Denver,2004-10-20
AT,Austin,2004-12-25
AT,Austin,2004-10-22
AT,Austin,2004-11-03
DV,Denver,2004-08-02
TP,Tampa,2004-09-23
AT,Austin,2004-09-16
ST,Seattle,2004-07-15
DV,Denver,2004-11-21
AT,Austin,2004-07-28
AT,Austin,2004-10-05
DV,Denver,2004-10-10
ST,Seattle,2004-07-06
DV,Denver,2004-09-23
DV,Denver,2004-10-21
DV,Denver,2004-08-10
AT,Austin,2004-10-12
AT,Austin,2004-08-28
AT,Austin,2004-11-09
DV,Denver,2004-12-22
DV,Denver,2004-11-29
DV,Denver,2004-12-25
ST,Seattle,2004-08-18
AT,Austin,2004-08-16
AT,Austin,2004-11-28
TP,Tampa,2004-07-07
TP,Tampa,2004-11-05
AT,Austin,2004-08-22
DV,Denver,2004-09-21
DV,Denver,2004-09-10
AT,Austin,2004-12-07
AT,Austin,2004-07-06
ST,Seattle,2004-07-08
DV,Denver,2004-12-17
ST,Seattle,2004-07-07
AT,Austin,2004-11-27
DV,Denver,2004-08-01
DV,Denver,2004-10-30
DV,Denver,2004-08-20
DV,Denver,2004-09-28
DV,Denver,2004-09-08
DV,Denver,2004-08-05
DV,Denver,2004-09-26
AT,Austin,2004-11-16
DV,Denver,2004-11-16
DV,Denver,2004-11-19
AT,Austin,2004-09-30
DV,Denver,2004-08-15
DV,Denver,2004-11-02
TP,Tampa,2004-10-20
DV,Denver,2004-09-24
DV,Denver,2004-08-26
DV,Denver,2004-12-14
DV,Denver,2004-08-13
DV,Denver,2004-08-14
ST,Seattle,2004-08-24
AT,Austin,2004-09-18
DV,Denver,2004-08-17
ST,Seattle,2004-07-13
AT,Austin,2004-09-19
DV,Denver,2004-12-15
DV,Denver,2004-09-17
DV,Denver,2004-12-12
DV,Denver,2004-10-07
DV,Denver,2004-10-01
AT,Austin,2004-11-19
ST,Seattle,2004-07-20
AT,Austin,2004-10-08
AT,Austin,2004-08-26
ST,Seattle,2004-07-14
ST,Seattle,2004-08-16
DV,Denver,2004-07-21
DV,Denver,2004-08-24
TP,Tampa,2004-11-01
AT,Austin,2004-07-24
AT,Austin,2004-07-13
TP,Tampa,2004-11-10
TP,Tampa,2004-07-14
AT,Austin,2004-08-30
AT,Austin,2004-12-24
AT,Austin,2004-08-19
DV,Denver,2004-12-23
AT,Austin,2004-12-04
AT,Austin,2004-09-04
AT,Austin,2004-11-08
DV,Denver,2004-07-29
TP,Tampa,2004-08-12
AT,Austin,2004-09-01
DV,Denver,2004-07-26
DV,Denver,2004-12-13
DV,Denver,2004-11-24
DV,Denver,2004-08-30
AT,Austin,2004-11-30
AT,Austin,2004-07-20
DV,Denver,2004-10-02
DV,Denver,2004-10-29
ST,Seattle,2004-08-02
ST,Seattle,2004-08-03
ST,Seattle,2004-08-27
DV,Denver,2004-07-12
TP,Tampa,2004-12-16
AT,Austin,2004-09-13
DV,Denver,2004-10-17
AT,Austin,2004-10-11
DV,Denver,2004-10-24
TP,Tampa,2004-08-26
ST,Seattle,2004-08-06
AT,Austin,2004-10-02
DV,Denver,2004-07-31
DV,Denver,2004-10-16
TP,Tampa,2004-08-24
AT,Austin,2004-10-03
DV,Denver,2004-11-27
AT,Austin,2004-12-13
ST,Seattle,2004-08-17
TP,Tampa,2004-07-20
AT,Austin,2004-08-25
AT,Austin,2004-07-12
AT,Austin,2004-07-04
AT,Austin,2004-07-09
DV,Denver,2004-11-30
TP,Tampa,2004-08-16
