site,sitename,date
AT,Austin,2003-12-25
DV,Denver,2003-10-22
DV,Denver,2003-09-03
TP,Tampa,2003-08-14
AT,Austin,2003-09-04
TP,Tampa,2003-07-15
DV,Denver,2003-08-24
TP,Tampa,2003-07-17
AT,Austin,2003-12-26
AT,Austin,2003-10-03
AT,Austin,2003-09-02
TP,Tampa,2003-07-07
DV,Denver,2003-10-30
AT,Austin,2003-07-10
DV,Denver,2003-09-09
DV,Denver,2003-10-01
AT,Austin,2003-09-10
ST,Seattle,2003-07-17
AT,Austin,2003-07-18
DV,Denver,2003-07-20
AT,Austin,2003-09-11
AT,Austin,2003-11-14
DV,Denver,2003-09-17
AT,Austin,2003-07-31
TP,Tampa,2003-08-05
DV,Denver,2003-07-14
AT,Austin,2003-07-23
ST,Seattle,2003-07-21
ST,Seattle,2003-07-07
AT,Austin,2003-10-08
TP,Tampa,2003-07-08
AT,Austin,2003-08-23
AT,Austin,2003-10-20
AT,Austin,2003-07-07
DV,Denver,2003-09-23
AT,Austin,2003-09-14
AT,Austin,2003-10-30
DV,Denver,2003-10-08
DV,Denver,2003-09-06
AT,Austin,2003-12-09
AT,Austin,2003-07-13
AT,Austin,2003-09-07
DV,Denver,2003-10-29
DV,Denver,2003-09-22
DV,Denver,2003-08-26
ST,Seattle,2003-07-23
DV,Denver,2003-09-21
DV,Denver,2003-10-28
AT,Austin,2003-07-08
AT,Austin,2003-12-15
DV,Denver,2003-07-31
AT,Austin,2003-09-22
AT,Austin,2003-08-16
AT,Austin,2003-07-25
AT,Austin,2003-12-05
AT,Austin,2003-09-25
TP,Tampa,2003-07-31
AT,Austin,2003-09-05
DV,Denver,2003-07-11
TP,Tampa,2003-07-16
TP,Tampa,2003-07-30
TP,Tampa,2003-08-06
AT,Austin,2003-11-22
ST,Seattle,2003-07-09
DV,Denver,2003-10-07
DV,Denver,2003-08-18
AT,Austin,2003-10-02
AT,Austin,2003-09-30
TP,Tampa,2003-07-28
DV,Denver,2003-08-19
AT,Austin,2003-09-23
DV,Denver,2003-09-11
DV,Denver,2003-09-10
DV,Denver,2003-08-12
AT,Austin,2003-10-13
ST,Seattle,2003-07-16
DV,Denver,2003-08-13
TP,Tampa,2003-09-29
AT,Austin,2003-07-09
DV,Denver,2003-08-16
TP,Tampa,2003-09-02
AT,Austin,2003-12-12
AT,Austin,2003-07-02
AT,Austin,2003-09-09
DV,Denver,2003-08-07
TP,Tampa,2003-11-03
AT,Austin,2003-08-29
DV,Denver,2003-09-14
DV,Denver,2003-07-12
DV,Denver,2003-08-05
AT,Austin,2003-12-24
ST,Seattle,2003-07-02
DV,Denver,2003-08-01
DV,Denver,2003-07-13
AT,Austin,2003-12-08
TP,Tampa,2003-08-18
DV,Denver,2003-07-24
DV,Denver,2003-08-20
AT,Austin,2003-07-01
AT,Austin,2003-10-22
AT,Austin,2003-07-16
AT,Austin,2003-07-28
AT,Austin,2003-08-14
ST,Seattle,2003-07-01
TP,Tampa,2003-07-10
TP,Tampa,2003-07-25
DV,Denver,2003-10-19
AT,Austin,2003-12-10
AT,Austin,2003-12-29
DV,Denver,2003-09-15
DV,Denver,2003-09-18
ST,Seattle,2003-07-15
